Chinese,Pinyin,English
您,nín,you
它,tā,it
大家,dàjiā,everyone
每,měi,every
为什么,wèishénme,why
两,liǎng,two
百,bǎi,hundred
千,qiān,thousand
第一,dìyī,first
次,cì,number
公斤,gōngjīn,kilogram
元,yuán,yuan
件,jiàn,piece
张,zhāng,sheet
别,bié,other
非常,fēicháng,very
也,yě,likewise
还,hái,repay
最,zuì,most
真,zhēn,real
正在,zhèngzài,be being
已经,yǐjīng,already
一起,yìqǐ,together
再,zài,again
就,jiǜ,at once
因为,yīnwèi,because
所以,suǒyǐ,so
但是,dànshì,but
从,cóng,from
对,duì,right
此,cǐ,this
向,xiàng,towards
离,lí,leave
得,de,
着,zhe,
过,guo,
吧,ba,
饭馆,fàn guǎn,restaurant
机场,jīchǎng,airport
教室,jiàoshì,classroom
房间,fángjiān,room
路,lù,road
左边,zuǒbiān,left
右边,yòubiān,right
外,wài,out
旁边,pángbiān,side
里面,lǐmiàn,inside
早上,zǎoshàng,morning
晚上,wǎnshàng,night
小时,xiǎoshí,hour
时间,shíjiān,time
去年,qùnián,last year
号,hào,number
生日,shēngrì,birthday
哥哥,gēge,brother
姐姐,jiějie,sister
弟弟,dìdi,younger brother
妹妹,mèimei,sis
丈夫,zhàngfu,husband
妻子,qīzi,wife
孩子,háizi,child
男人,nánrén,man
女人,nǚrén,woman
服务员,fúwùyuán,waiter
鱼,yú,fish
羊肉,yángròu,mutton
牛奶,niúnǎi,milk
鸡蛋,jīdàn,egg
西瓜,xīguā,watermelon
咖啡,kāfēi,coffee
自行车,zìxíngchē,bike
船,chuán,boat
雪,xué,snow
药,yào,medicine
手机,shǒujī,phone
手表,shǒubiǎo,watch
眼睛,yǎnjīng,eye
身体,shēntǐ,body
公共汽车,gōnggòngqìchē,bus
报纸,bàozhǐ,newspaper
门,mén,door
题,tí,topic
课,kè,lesson
姓,xìng,surname
问题,wèntí,question
事情,shìqing,matter
考试,kǎoshì,exam
票,piào,ticket
意思,yìsi,meaning
颜色,yánsè,color
欢迎,huānyíng,welcome
问,wèn,ask
走,zǒu,walk
进,jìn,enter
出,chū,come
跑步,pǎobù,run
到,dào,arrive
穿,chuān,wear
洗,xǐ,wash
给,gěi,give
找,zhǎo,find
懂,dǒng,understand
笑,xiào,smile
回答,huídá,answer
告诉,gàosù,tell
准备,zhǔnbèi,prepare
开始,kāishǐ,begin
介绍,jièshào,introduce
帮助,bāngzhù,help
玩,wán,play
送,sòng,present
等,děng,wait
让,ràng,let
起床,qǐchuáng,get up
唱歌,chànggē,sing
跳舞,tiàowǔ,dance
旅游,lǚyóu,travel
上班,shàngbān,be on duty
生病,shēngbìng,fall ill
休息,xiūxi,rest
运动,yùndòng,exercise
游泳,yóuyǒng,swim
踢足球,tīzúqiú,play footbal
打篮球,dǎlánqiú,play basketball
完,wán,finish
觉得,juédé,think
知道,zhīdào,know
希望,xīwàng,hope
可以,kěyǐ,can
要,yào,ask for
可能,kěnéng,may
高,gāo,tall
红,hóng,red
白,bái,white
黑,hēi,black
忙,máng,busy
快,kuài,fast
慢,màn,slow
远,yuǎn,far
近,jìn,close
好吃,hǎochī,delicious
累,lèi,tired
长,cháng,long
新,xīn,new
贵,guì,expensive
便宜,piányi,cheap
晴,qíng,fine
阴,yīn,cloudy
错,cuò,wrong
快乐,kuàilè,happy
